absolute_path,path,asset_ids,purpose,replacement,consumer_evidence,fresh_scan_evidence,current_sha256,existence,recovery,authorization,category,cleanable,reason,p4_final_identity,p4_final_cleanup,p4_final_recovery
D:\workspace\10-software-project\projects\mj-agent\maintain\codex-dev-mode-migration\.agents.lock.json,.agents.lock.json,A001,extract-valid-semantics-then-retire,native skills/config/guards/checks; historical baseline retained,".agents/skills/mj-agent-git-commit/SKILL.md:119; .claude/skills/mj-agent-git-commit/SKILL.md:119; .github/PULL_REQUEST_TEMPLATE.md:68; AGENTS.md:42,65,222; policies/ai-agent.md:94,114,164,430; policies/claude-code-skill.md:194; scripts/sdd/_common/codex_config_renderer.py:57; scripts/sdd/_common/codex_hook_renderer.py:63; scripts/sdd/_common/codex_rule_renderer.py:47; scripts/sdd/_common/enforcement_source.py:174,225; scripts/sdd/_common/projection_loader.py:18,47,91; scripts/sdd/agents_sync.py:25,158,171,189,201,210,1793; scripts/sdd/check_agents_projection.py:14,79,291,297,298,308,323,334,358,362,376,394,409; scripts/sdd/check_cross_carrier.py:10,242,244,250,262; scripts/sdd/task0_freeze.py:114; sdd/adapters/codex-enforcement.yml:12,142; sdd/adapters/codex-skills-readme.md:3,23; sdd/adapters/development-agent.md:92,134; sdd/gates.md:61; tests/unit/test_agents_sync.py:64,83,90,180,184,195,248,249,275,281,424,529,543,617,1991,2011,2033,2039,2065,2132,2150,2155,2158,2180,2184; tests/unit/test_carrier_cutover_c1.py:171; tests/unit/test_codex_enforcement_d1a.py:138,140,359,488,793; tests/unit/test_cross_carrier_v12.py:102,169,214; tests/unit/test_lock_v2.py:449; tests/unit/test_sdd_development_agent.py:353,372,388,408; tests/unit/test_stage11_fixes.py:122,138,153,155,164,207; tests/unit/test_task0_freeze.py:54,140; tests/unit/test_v2_engine.py:200,248,254,276,312,371,374,564",p4-results-static.json native consumers/resources; p4-results-unit-after-fix.json; copy excludes named legacy assets. Not exhaustive zero textual references.; p4-linux-execution-v2.json and p4-linux-topology-execution-v3.json; source identities rechecked 2026-09-20; p4-final-consumer-scan.json (current 817-bound literal scan; not exhaustive dynamic consumer proof),5ecfe8cdbee7c587b787b824eb990d7dd283851d0f63b2a65b31ffb75b4a6823,PRESENT,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.agents.lock.json is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.agents.lock.json,NO_P5_DELETE_AUTHORIZATION,LEGACY_REMNANT_CONDITIONAL,NO,"P4 technical prerequisite met; conditional legacy candidate only. Review consumers, exact scope and recovery before separate named P5 deletion approval.",VERIFIED_AFTER_R3_RESTORE,NO_DELETE_AUTHORIZATION; P4_TECHNICAL_PASS; P5_NOT_STARTED,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.agents.lock.json is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.agents.lock.json
D:\workspace\10-software-project\projects\mj-agent\maintain\codex-dev-mode-migration\.claude\hooks\stop-claude-md-improver\README.md,.claude/hooks/stop-claude-md-improver/README.md,A021,retire-skeleton,none,tracked inventory / exact source reference,p4-results-static.json native consumers/resources; p4-results-unit-after-fix.json; copy excludes named legacy assets. Not exhaustive zero textual references.; p4-linux-execution-v2.json and p4-linux-topology-execution-v3.json; source identities rechecked 2026-09-20; p4-final-consumer-scan.json (current 817-bound literal scan; not exhaustive dynamic consumer proof),951c73c9c4652367a6e074e614dfc916a5d414f3a23e6ae10a5722cca996a5fb,PRESENT,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/hooks/stop-claude-md-improver/README.md is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/hooks/stop-claude-md-improver/README.md,NO_P5_DELETE_AUTHORIZATION,LEGACY_REMNANT_CONDITIONAL,NO,"P4 technical prerequisite met; conditional legacy candidate only. Review consumers, exact scope and recovery before separate named P5 deletion approval.",VERIFIED_AFTER_R3_RESTORE,NO_DELETE_AUTHORIZATION; P4_TECHNICAL_PASS; P5_NOT_STARTED,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/hooks/stop-claude-md-improver/README.md is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/hooks/stop-claude-md-improver/README.md
D:\workspace\10-software-project\projects\mj-agent\maintain\codex-dev-mode-migration\.claude\hooks\stop-claude-md-improver\on-stop.ps1,.claude/hooks/stop-claude-md-improver/on-stop.ps1,A022,retire-skeleton,none,tracked inventory / exact source reference,p4-results-static.json native consumers/resources; p4-results-unit-after-fix.json; copy excludes named legacy assets. Not exhaustive zero textual references.; p4-linux-execution-v2.json and p4-linux-topology-execution-v3.json; source identities rechecked 2026-09-20; p4-final-consumer-scan.json (current 817-bound literal scan; not exhaustive dynamic consumer proof),9f137add7ff72c49d7e8f6db2516fb3425de8715046f767d61ec0d4b4712d7c9,PRESENT,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/hooks/stop-claude-md-improver/on-stop.ps1 is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/hooks/stop-claude-md-improver/on-stop.ps1,NO_P5_DELETE_AUTHORIZATION,LEGACY_REMNANT_CONDITIONAL,NO,"P4 technical prerequisite met; conditional legacy candidate only. Review consumers, exact scope and recovery before separate named P5 deletion approval.",VERIFIED_AFTER_R3_RESTORE,NO_DELETE_AUTHORIZATION; P4_TECHNICAL_PASS; P5_NOT_STARTED,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/hooks/stop-claude-md-improver/on-stop.ps1 is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/hooks/stop-claude-md-improver/on-stop.ps1
D:\workspace\10-software-project\projects\mj-agent\maintain\codex-dev-mode-migration\.claude\plugins.json,.claude/plugins.json,A023,extract-allowed-semantics-then-retire,.codex/config.toml + .codex/hooks.json + .codex/rules/mj-agent.rules,"AGENTS.md:163; policies/ai-agent.md:30,67; policies/documentation.md:244",p4-results-static.json native consumers/resources; p4-results-unit-after-fix.json; copy excludes named legacy assets. Not exhaustive zero textual references.; p4-linux-execution-v2.json and p4-linux-topology-execution-v3.json; source identities rechecked 2026-09-20; p4-final-consumer-scan.json (current 817-bound literal scan; not exhaustive dynamic consumer proof),1d548e2f5f803de864409361c036c6c2f3988eb441021f53e21c198d86d07c4a,PRESENT,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/plugins.json is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/plugins.json,NO_P5_DELETE_AUTHORIZATION,LEGACY_REMNANT_CONDITIONAL,NO,"P4 technical prerequisite met; conditional legacy candidate only. Review consumers, exact scope and recovery before separate named P5 deletion approval.",VERIFIED_AFTER_R3_RESTORE,NO_DELETE_AUTHORIZATION; P4_TECHNICAL_PASS; P5_NOT_STARTED,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/plugins.json is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/plugins.json
D:\workspace\10-software-project\projects\mj-agent\maintain\codex-dev-mode-migration\.claude\scripts\guard-git-workflow.ps1,.claude/scripts/guard-git-workflow.ps1,A024,extract-invariants-then-retire,scripts/sdd/codex_hook_guard.py + .codex/rules/mj-agent.rules,".agents/skills/mj-agent-git-branch/SKILL.md:61; .agents/skills/mj-agent-git-pr/SKILL.md:52; .claude/skills/mj-agent-git-branch/SKILL.md:33; .claude/skills/mj-agent-git-pr/SKILL.md:24; CLAUDE.md:169; CONTRIBUTING.md:63; docs/guide/[GUIDE]_Developer_Onboarding.md:250; policies/data-boundary.md:149; policies/git-branching.md:78,108; sdd/development-agent.yml:358,467; tests/unit/test_guard_git_workflow_hook.py:3",p4-results-static.json native consumers/resources; p4-results-unit-after-fix.json; copy excludes named legacy assets. Not exhaustive zero textual references.; p4-linux-execution-v2.json and p4-linux-topology-execution-v3.json; source identities rechecked 2026-09-20; p4-final-consumer-scan.json (current 817-bound literal scan; not exhaustive dynamic consumer proof),f8c1c2f9d099e1a5dd2789b947b2924b845a7ddd369900f8d6901a0c78d30415,PRESENT,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/guard-git-workflow.ps1 is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/guard-git-workflow.ps1,NO_P5_DELETE_AUTHORIZATION,LEGACY_REMNANT_CONDITIONAL,NO,"P4 technical prerequisite met; conditional legacy candidate only. Review consumers, exact scope and recovery before separate named P5 deletion approval.",VERIFIED_AFTER_R3_RESTORE,NO_DELETE_AUTHORIZATION; P4_TECHNICAL_PASS; P5_NOT_STARTED,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/guard-git-workflow.ps1 is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/guard-git-workflow.ps1
D:\workspace\10-software-project\projects\mj-agent\maintain\codex-dev-mode-migration\.claude\scripts\pg-server-start.cmd,.claude/scripts/pg-server-start.cmd,A025,migrate-tool,scripts/mcp/pg-server-start.ps1,"capabilities/infrastructure/mcp-server-governance/contracts/governance.contract.yml:20; capabilities/infrastructure/mcp-server-governance/design.md:21,45,76; capabilities/infrastructure/mcp-server-governance/requirements.md:74,88,100; capabilities/infrastructure/mcp-server-governance/runbook.md:148; capabilities/infrastructure/mcp-server-governance/spec.yml:19,36,41",p4-results-static.json native consumers/resources; p4-results-unit-after-fix.json; copy excludes named legacy assets. Not exhaustive zero textual references.; p4-linux-execution-v2.json and p4-linux-topology-execution-v3.json; source identities rechecked 2026-09-20; p4-final-consumer-scan.json (current 817-bound literal scan; not exhaustive dynamic consumer proof),ddd8a1b6d883d571b86bd71333bea41f4ed623efe43416b28d184254479e0395,PRESENT,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/pg-server-start.cmd is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/pg-server-start.cmd,NO_P5_DELETE_AUTHORIZATION,LEGACY_REMNANT_CONDITIONAL,NO,"P4 technical prerequisite met; conditional legacy candidate only. Review consumers, exact scope and recovery before separate named P5 deletion approval.",VERIFIED_AFTER_R3_RESTORE,NO_DELETE_AUTHORIZATION; P4_TECHNICAL_PASS; P5_NOT_STARTED,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/pg-server-start.cmd is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/pg-server-start.cmd
D:\workspace\10-software-project\projects\mj-agent\maintain\codex-dev-mode-migration\.claude\scripts\pg-server-wrapper.mjs,.claude/scripts/pg-server-wrapper.mjs,A026,migrate-tool,scripts/mcp/pg-server-wrapper.mjs,"capabilities/infrastructure/mcp-server-governance/contracts/governance.contract.yml:21; capabilities/infrastructure/mcp-server-governance/design.md:46,77; capabilities/infrastructure/mcp-server-governance/runbook.md:130,148; capabilities/infrastructure/mcp-server-governance/tasks.md:42",p4-results-static.json native consumers/resources; p4-results-unit-after-fix.json; copy excludes named legacy assets. Not exhaustive zero textual references.; p4-linux-execution-v2.json and p4-linux-topology-execution-v3.json; source identities rechecked 2026-09-20; p4-final-consumer-scan.json (current 817-bound literal scan; not exhaustive dynamic consumer proof),cb9c551838caa195f70475cb3301f2b96ffdb016d477aed89985ddb8c3a4c4b2,PRESENT,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/pg-server-wrapper.mjs is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/pg-server-wrapper.mjs,NO_P5_DELETE_AUTHORIZATION,LEGACY_REMNANT_CONDITIONAL,NO,"P4 technical prerequisite met; conditional legacy candidate only. Review consumers, exact scope and recovery before separate named P5 deletion approval.",VERIFIED_AFTER_R3_RESTORE,NO_DELETE_AUTHORIZATION; P4_TECHNICAL_PASS; P5_NOT_STARTED,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/pg-server-wrapper.mjs is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/pg-server-wrapper.mjs
D:\workspace\10-software-project\projects\mj-agent\maintain\codex-dev-mode-migration\.claude\scripts\setup-mcp-secrets.ps1,.claude/scripts/setup-mcp-secrets.ps1,A027,migrate-tool,scripts/mcp/setup-mcp-secrets.ps1,".claude/skills/mj-agent-infra-app-start/SKILL.md:127; .claude/skills/mj-agent-infra-env-setup/SKILL.md:3,13,21,239; CLAUDE.md:130; capabilities/infrastructure/mcp-server-governance/runbook.md:149; policies/ai-agent.md:371",p4-results-static.json native consumers/resources; p4-results-unit-after-fix.json; copy excludes named legacy assets. Not exhaustive zero textual references.; p4-linux-execution-v2.json and p4-linux-topology-execution-v3.json; source identities rechecked 2026-09-20; p4-final-consumer-scan.json (current 817-bound literal scan; not exhaustive dynamic consumer proof),15efcbb6fd2f4c14a63c5bf3e9e8e685d17fbc709c37c938ee3b5aa57608c2f1,PRESENT,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/setup-mcp-secrets.ps1 is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/setup-mcp-secrets.ps1,NO_P5_DELETE_AUTHORIZATION,LEGACY_REMNANT_CONDITIONAL,NO,"P4 technical prerequisite met; conditional legacy candidate only. Review consumers, exact scope and recovery before separate named P5 deletion approval.",VERIFIED_AFTER_R3_RESTORE,NO_DELETE_AUTHORIZATION; P4_TECHNICAL_PASS; P5_NOT_STARTED,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/setup-mcp-secrets.ps1 is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/scripts/setup-mcp-secrets.ps1
D:\workspace\10-software-project\projects\mj-agent\maintain\codex-dev-mode-migration\.claude\settings.json,.claude/settings.json,A028,extract-allowed-semantics-then-retire,.codex/config.toml + .codex/hooks.json + .codex/rules/mj-agent.rules,".agents/skills/mj-agent-doc-validate/SKILL.md:14,148,183; .agents/skills/mj-agent-flow-implement/SKILL.md:14; .agents/skills/mj-agent-flow-intake/SKILL.md:14; .agents/skills/mj-agent-flow-plan/SKILL.md:14; .agents/skills/mj-agent-flow-post-merge/SKILL.md:14; .agents/skills/mj-agent-flow-repo-scan/SKILL.md:14; .agents/skills/mj-agent-flow-review-respond/SKILL.md:14; .agents/skills/mj-agent-flow-scope-drift/SKILL.md:14; .agents/skills/mj-agent-flow-self-review/SKILL.md:14; .agents/skills/mj-agent-flow-verify/SKILL.md:14; .agents/skills/mj-agent-git-branch/SKILL.md:14,62; .agents/skills/mj-agent-git-issue/SKILL.md:14; .agents/skills/mj-agent-git-pr/SKILL.md:14,53,186; .claude/skills/mj-agent-doc-plan/SKILL.md:117; .claude/skills/mj-agent-doc-review/SKILL.md:61,123,149; .claude/skills/mj-agent-doc-sync/SKILL.md:84; .claude/skills/mj-agent-doc-validate/SKILL.md:120,155; .claude/skills/mj-agent-git-branch/SKILL.md:34; .claude/skills/mj-agent-git-pr/SKILL.md:25,158; .claude/skills/mj-agent-git-review-pr/SKILL.md:67; .github/ISSUE_TEMPLATE/maintenance.md:20,40; .github/PULL_REQUEST_TEMPLATE.md:119; .github/PULL_REQUEST_TEMPLATE/bugfix.md:48; .github/PULL_REQUEST_TEMPLATE/documentation.md:42; .github/PULL_REQUEST_TEMPLATE/feature.md:51; .github/PULL_REQUEST_TEMPLATE/hotfix.md:51; .github/PULL_REQUEST_TEMPLATE/maintain.md:44; .github/PULL_REQUEST_TEMPLATE/release.md:40; AGENTS.md:117,163; CLAUDE.md:36; CONTRIBUTING.md:185,197; docs/guide/[GUIDE]_Developer_Onboarding.md:212,250,376; docs/guide/[GUIDE]_MJ_Agent_SPEC_Authoring.md:162; docs/infrastructure/git/[GUIDE]_Git_Push_Workflow.md:256; policies/ai-agent.md:30,111,119,135,143,144,365,392; policies/ci-gates.md:134,295,307,311,319; policies/claude-code-skill.md:135,154,171; policies/data-boundary.md:103,146; policies/documentation.md:88,244,321; policies/git-branching.md:108,135; scripts/check_ai_context_audit.py:66; sdd/adapters/claude-code-skill.md:71; sdd/adapters/codex-skill-preface.md:15; sdd/gates.md:36,91; sdd/workflows/execution-loop.md:192; tests/unit/golden/codex_translation/alpha.out.md:14,58; tests/unit/test_check_ai_context_audit.py:369; tests/unit/test_codex_enforcement_d1a.py:789; tests/unit/test_skill_renderer_translation.py:82,201; tests/unit/test_task0_freeze.py:46,63,211,217,303,321",p4-results-static.json native consumers/resources; p4-results-unit-after-fix.json; copy excludes named legacy assets. Not exhaustive zero textual references.; p4-linux-execution-v2.json and p4-linux-topology-execution-v3.json; source identities rechecked 2026-09-20; p4-final-consumer-scan.json (current 817-bound literal scan; not exhaustive dynamic consumer proof),8d9d32dc9cbed0a73446a7c81e4a307739945555281b75b0dcf5cdfd71df4f7c,PRESENT,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/settings.json is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/settings.json,NO_P5_DELETE_AUTHORIZATION,LEGACY_REMNANT_CONDITIONAL,NO,"P4 technical prerequisite met; conditional legacy candidate only. Review consumers, exact scope and recovery before separate named P5 deletion approval.",VERIFIED_AFTER_R3_RESTORE,NO_DELETE_AUTHORIZATION; P4_TECHNICAL_PASS; P5_NOT_STARTED,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/settings.json is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/settings.json
D:\workspace\10-software-project\projects\mj-agent\maintain\codex-dev-mode-migration\.claude\skills\SKILL_INDEX.md,.claude/skills/SKILL_INDEX.md,A029,absorb-index-then-retire,.agents/README.md,scripts/sdd/check_development_agent.py:534; tests/unit/test_dual_agent_compat.py:122,p4-results-static.json native consumers/resources; p4-results-unit-after-fix.json; copy excludes named legacy assets. Not exhaustive zero textual references.; p4-linux-execution-v2.json and p4-linux-topology-execution-v3.json; source identities rechecked 2026-09-20; p4-final-consumer-scan.json (current 817-bound literal scan; not exhaustive dynamic consumer proof),0df79ad501b59727ba39164cd6a38346be5370f1be9aa2093de8cd4c0770e269,PRESENT,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/skills/SKILL_INDEX.md is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/skills/SKILL_INDEX.md,NO_P5_DELETE_AUTHORIZATION,LEGACY_REMNANT_CONDITIONAL,NO,"P4 technical prerequisite met; conditional legacy candidate only. Review consumers, exact scope and recovery before separate named P5 deletion approval.",VERIFIED_AFTER_R3_RESTORE,NO_DELETE_AUTHORIZATION; P4_TECHNICAL_PASS; P5_NOT_STARTED,Git 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/skills/SKILL_INDEX.md is baseline only; post-cutover/current bytes require named backup/current file; 20e2f24c352cf640d9dd33234b128ca897804b99:.claude/skills/SKILL_INDEX.md
